Edition,NOC,Vitorias por ano
2008,CHI,1
2008,CHN,184
2008,CMR,1
2008,COL,2
2008,CRO,5
2008,CUB,47
2008,CZE,7
2008,DEN,18
2008,DOM,2
2008,ECU,1
2008,EGY,1
2008,ESP,71
2008,EST,3
2008,ETH,7
2008,FIN,5
2008,FRA,76
2008,GBR,77
2008,GEO,6
2008,GER,101
2008,GRE,7
2008,HUN,27
2008,INA,7
2008,IND,3
2008,IRI,2
2008,IRL,3
2008,ISL,14
2008,ISR,1
2008,ITA,42
2008,JAM,17
2008,JPN,51
2008,KAZ,13
2008,KEN,14
2008,KGZ,2
2008,KOR,78
2008,LAT,3
2008,LTU,5
2008,MAR,2
2008,MAS,1
2008,MDA,1
2008,MEX,4
2008,MGL,4
2008,MRI,1
2008,NED,62
2008,NGR,24
2008,NOR,22
2008,NZL,14
2008,PAN,1
2008,POL,20
2008,POR,2
2008,PRK,6
2008,ROU,22
2008,RSA,1
2008,RUS,143
2008,SIN,3
2008,SLO,5
2008,SRB,15
2008,SUD,1
2008,SUI,11
2008,SVK,10
2008,SWE,7
2008,THA,4
2008,TJK,2
2008,TOG,1
2008,TPE,4
2008,TRI,5
2008,TUN,1
2008,TUR,8
2008,UKR,31
2008,USA,315
2008,UZB,6
2008,VEN,1
2008,VIE,1
2008,ZIM,4
